problem,config,checkpoint,hypervolume,normalized_hv,percent_non_dominated,ordering_score,pref_grid_step,lr,gamma,batch_size,seed,timestamp
problem_2b,problem_2b.yml,,190.67704449213875,0.6882406827974283,0.38461538461538464,0.9790160132095973,0.05,0.001,0.99,32,2,2026-06-04T04:06:47
problem_2b,problem_2b.yml,,131.33451454967565,0.47404634474636065,0.5384615384615384,0.9558252294496359,0.05,0.001,0.99,32,3,2026-06-04T05:09:30
problem_2b,problem_2b.yml,,110.74387747689896,0.3997253159306129,0.9230769230769231,0.9712808872250573,0.05,0.001,0.99,32,4,2026-06-04T05:10:40
problem_2a,problem_2a.yml,,25.967489047071226,0.13749626858190211,0.46153846153846156,0.7979020005292258,0.05,0.0003,0.99,32,2,2026-06-04T05:15:57
problem_2a,problem_2a.yml,,21.634372068597173,0.11455267881898412,0.23076923076923078,0.7047822919589057,0.05,0.0003,0.99,32,3,2026-06-04T05:26:02
problem_2a,problem_2a.yml,,12.305561964576697,0.0651571990601651,1.0,0.7746326027862726,0.05,0.0003,0.99,32,4,2026-06-04T05:36:00
problem_2c,problem_2c.yml,,80.86799118922126,0.24453212394936455,0.38461538461538464,0.6379374003445741,0.05,0.0006,0.95,256,0,2026-06-04T07:02:43
problem_2c,problem_2c.yml,,14.52201466618355,0.043912295064144055,0.23076923076923078,0.5765565297426534,0.05,0.0006,0.95,256,1,2026-06-04T08:06:31
problem_2c,problem_2c.yml,,16.171144276789992,0.048899004396465544,0.6923076923076923,0.8533490062301802,0.05,0.0006,0.95,256,2,2026-06-04T08:08:20
problem_2c,problem_2c.yml,,16.171792439959614,0.04890096434024803,0.6153846153846154,0.84548617524127,0.05,0.0006,0.95,256,3,2026-06-04T08:16:02
problem_2c,problem_2c.yml,,16.634957194923995,0.05030150192754775,0.15384615384615385,0.5762055735025401,0.05,0.0006,0.95,256,4,2026-06-04T08:23:35
problem_3a,problem_3a.yml,,17089.353443272248,0.36069007093271416,0.27362637362637365,0.7042497294136314,0.05,0.0006,0.95,256,0,2026-06-04T08:47:07
problem_3a,problem_3a.yml,,521.2743070787483,0.011002081934799846,0.015384615384615385,0.7696652549900692,0.05,0.0006,0.95,256,1,2026-06-04T10:20:04
problem_3b,problem_3b.yml,,119.66720776950211,0.18491097140928903,0.7489010989010989,0.8014115200991608,0.05,0.0001,0.95,32,0,2026-06-04T10:51:48
problem_3b,problem_3b.yml,,86.4249073644533,0.13354463493040328,0.6692307692307692,0.7784345016058647,0.05,0.0001,0.95,32,1,2026-06-04T11:16:08
problem_3a,problem_3a.yml,,24457.546683095647,0.5162040961496311,0.11043956043956044,0.7567388763501331,0.05,0.0006,0.95,256,2,2026-06-04T11:28:35
problem_3a,problem_3a.yml,,13832.111928945655,0.2919423165634605,0.12857142857142856,0.6357069622647247,0.05,0.0006,0.95,256,3,2026-06-04T11:31:46
problem_3a,problem_3a.yml,,843.5996996976185,0.017805122735204404,0.5510989010989011,0.8244068124376657,0.05,0.0006,0.95,256,4,2026-06-04T11:41:59
problem_3b,problem_3b.yml,,14.82868299133198,0.022913429900771946,0.6791208791208792,0.7864837174942448,0.05,0.0001,0.95,32,2,2026-06-04T12:55:19
problem_3b,problem_3b.yml,,80.86780474054137,0.12495774413916894,0.7269230769230769,0.7075957399863048,0.05,0.0001,0.95,32,3,2026-06-04T13:30:07
problem_3b,problem_3b.yml,,60.91564302167742,0.09412746344726311,0.5747252747252747,0.8352132967598362,0.05,0.0001,0.95,32,4,2026-06-04T13:59:02
problem_4b,problem_4b.yml,,141679.8965965303,0.31893992978620417,0.22582417582417583,0.7681587722206332,0.05,0.0003,0.99,32,0,2026-06-04T18:15:56
problem_4b,problem_4b.yml,,42438.13297786366,0.09553377350890092,0.2752747252747253,0.7144396927198887,0.05,0.0003,0.99,32,1,2026-06-04T22:21:09
problem_4a,problem_4a.yml,,3.12690357269577,0.07669150883492862,0.023076923076923078,0.7308905999788813,0.05,0.0003,0.95,128,1,2026-06-05T01:10:29
problem_4a,problem_4a.yml,,24.53030259929476,0.6016386098198121,0.1,0.6871859979327682,0.05,0.0003,0.95,128,0,2026-06-05T01:13:09
problem_4a,problem_4a.yml,,28.894416113242464,0.7086743537532292,0.06483516483516484,0.5941429262027614,0.05,0.0003,0.95,128,2,2026-06-05T01:27:11
problem_4b,problem_4b.yml,,55061.980138477906,0.12395170028438307,0.210989010989011,0.7799620471224508,0.05,0.0003,0.99,32,2,2026-06-05T02:16:04
problem_4a,problem_4a.yml,,20.66946273725407,0.5069463279805388,0.013736263736263736,0.6282653988643351,0.05,0.0003,0.95,128,3,2026-06-05T02:36:16
problem_5a,problem_5a.yml,,1753.9485932162934,0.43648005831475006,0.3956043956043956,0.8613692320915002,0.05,0.001,0.99,32,0,2026-06-05T02:59:36
problem_4a,problem_4a.yml,,4.186002698984984,0.10266733703446904,0.03901098901098901,0.7178019272967916,0.05,0.0003,0.95,128,4,2026-06-05T03:01:30
problem_5a,problem_5a.yml,,1725.119197219984,0.42930569955970055,0.37362637362637363,0.8799572645950581,0.05,0.001,0.99,32,1,2026-06-05T03:39:38
problem_5a,problem_5a.yml,,1717.5442013838883,0.42742061886973,0.42857142857142855,0.8773350790417234,0.05,0.001,0.99,32,2,2026-06-05T04:04:28
problem_5a,problem_5a.yml,,1668.32117766081,0.4151711901531906,0.43956043956043955,0.8560037387560828,0.05,0.001,0.99,32,3,2026-06-05T04:24:56
problem_5a,problem_5a.yml,,1669.8247039705848,0.4155453512055193,0.43956043956043955,0.8529484113307682,0.05,0.001,0.99,32,4,2026-06-05T04:26:31
problem_4b,problem_4b.yml,,60928.37995813518,0.1371577315670535,0.33681318681318684,0.7642494053067361,0.05,0.0003,0.99,32,3,2026-06-05T04:55:45
problem_4b,problem_4b.yml,,17762.31763091781,0.039985294132293424,0.22582417582417583,0.5362783495668237,0.05,0.0003,0.99,32,4,2026-06-05T05:02:06
problem_5b,problem_5b.yml,,1303.0274282496855,0.5202381994204333,0.0989010989010989,0.7092803176418043,0.05,0.0003,0.99,32,0,2026-06-05T06:40:11
problem_5b,problem_5b.yml,,1102.8601338304868,0.44032071604758943,0.054945054945054944,0.7324250343957082,0.05,0.0003,0.99,32,1,2026-06-05T07:15:55
problem_5b,problem_5b.yml,,151.1317899601775,0.0603398889228937,0.3516483516483517,0.7154159623792263,0.05,0.0003,0.99,32,2,2026-06-05T07:35:10
problem_5b,problem_5b.yml,,1102.6107341618917,0.4402211423688525,0.18681318681318682,0.5723318115808328,0.05,0.0003,0.99,32,3,2026-06-05T07:35:34
problem_5b,problem_5b.yml,,1397.616979508289,0.5580034043300979,0.03296703296703297,0.7308277686785658,0.05,0.0003,0.99,32,4,2026-06-05T08:06:32
problem_5c,problem_5c.yml,,14242.082492212568,0.22967691815684818,0.054945054945054944,0.622051280155826,0.05,0.0003,0.95,128,0,2026-06-05T16:48:25
problem_5c,problem_5c.yml,,26237.058235539633,0.42311555773781534,0.10989010989010989,0.49703299774790016,0.05,0.0003,0.95,128,1,2026-06-05T18:07:20
problem_5c,problem_5c.yml,,34522.166125503674,0.556726498961082,0.14285714285714285,0.3510806134309421,0.05,0.0003,0.95,128,2,2026-06-05T19:53:17
problem_5c,problem_5c.yml,,35082.85128520395,0.565768465935129,0.12087912087912088,0.39086126348047373,0.05,0.0003,0.95,128,4,2026-06-05T20:04:21
problem_5c,problem_5c.yml,,15558.188657623195,0.25090128672822976,0.23076923076923078,0.5802605355542736,0.05,0.0003,0.95,128,3,2026-06-05T20:12:01
problem_5d,problem_5d.yml,,104652.80859792679,0.7156692975620511,0.12417582417582418,0.5801247629451844,0.05,0.0003,0.95,128,0,2026-06-05T21:37:30
problem_5d,problem_5d.yml,,92255.98199302047,0.6308934725536852,0.26153846153846155,0.7050100122158419,0.05,0.0003,0.95,128,1,2026-06-06T07:19:46
problem_5d,problem_5d.yml,,101864.71828662872,0.6966029135695074,0.17857142857142858,0.6094748902570508,0.05,0.0003,0.95,128,2,2026-06-06T07:26:15
problem_5d,problem_5d.yml,,110193.2116150565,0.7535574000277353,0.12472527472527473,0.616567480621504,0.05,0.0003,0.95,128,4,2026-06-06T10:45:00
problem_5d,problem_5d.yml,,96871.13463125852,0.6624542408789694,0.25054945054945055,0.6134049299041804,0.05,0.0003,0.95,128,3,2026-06-06T10:49:13
problem_5e,problem_5e.yml,,280026.0753194451,0.6166940359300678,0.7076923076923077,0.8199090049899941,0.05,0.0003,0.95,128,0,2026-06-06T10:55:59
problem_5e,problem_5e.yml,,198228.52352808483,0.43655344621581466,0.8252747252747252,0.7119951777558512,0.05,0.0003,0.95,128,1,2026-06-06T11:33:32
problem_5e,problem_5e.yml,,214659.1237233738,0.47273812343070293,0.75,0.7226359095515938,0.05,0.0003,0.95,128,3,2026-06-06T17:41:23
problem_5e,problem_5e.yml,,193234.14770897443,0.4255544641484298,0.737912087912088,0.7626905935112264,0.05,0.0003,0.95,128,2,2026-06-06T18:26:10
problem_5e,problem_5e.yml,,294713.4208004245,0.6490395892912388,0.49340659340659343,0.7292419410620156,0.05,0.0003,0.95,128,4,2026-06-06T20:11:14
