problem,config,checkpoint,scalarization,hypervolume,normalized_hv,percent_non_dominated,ordering_score,learning_rate,gamma,batch_size,tau,total_steps,seed,timestamp
problem_5c,problem_5c.yml,,linear,59746.08728911657,0.963503561224108,0.7582417582417582,0.9754828640858052,0.0003,0.99,32,0.05,500000,0,2026-06-20T03:53:47
problem_5c,problem_5c.yml,,linear,56838.651144274394,0.9166163890812483,0.5274725274725275,0.7469359790032603,0.0003,0.99,32,0.05,500000,1,2026-06-20T03:58:40
problem_5c,problem_5c.yml,,linear,59004.95876416844,0.95155164929962,0.7142857142857143,0.8646326209282253,0.0003,0.99,32,0.05,500000,2,2026-06-20T03:59:40
problem_5c,problem_5c.yml,,linear,58790.813157420496,0.9480982004783827,0.7142857142857143,0.8431217691953249,0.0003,0.99,32,0.05,500000,3,2026-06-20T04:03:14
problem_5c,problem_5c.yml,,linear,56850.45455442202,0.9168067384116871,0.6373626373626373,0.656509403334051,0.0003,0.99,32,0.05,500000,4,2026-06-20T04:21:24
problem_5d,problem_5d.yml,,linear,10454.668022883841,0.07149435376290456,0.1467032967032967,0.8203988691112162,0.0003,0.99,32,0.05,500000,0,2026-06-20T04:33:55
problem_5d,problem_5d.yml,,linear,14230.470068310442,0.09731521450985009,0.43351648351648353,0.7893355534018989,0.0003,0.99,32,0.05,500000,1,2026-06-20T04:39:07
problem_5d,problem_5d.yml,,linear,10571.244794296506,0.07229156520162945,0.49230769230769234,0.9366681527278748,0.0003,0.99,32,0.05,500000,2,2026-06-20T04:40:59
problem_5d,problem_5d.yml,,linear,13362.519545140161,0.09137972601644147,0.17527472527472526,0.8437640367891297,0.0003,0.99,32,0.05,500000,3,2026-06-20T04:44:27
problem_5d,problem_5d.yml,,linear,98326.37355440183,0.672405907077554,0.1912087912087912,0.7216899514582582,0.0003,0.99,32,0.05,500000,4,2026-06-20T05:02:10
problem_5e,problem_5e.yml,,linear,275775.6654906502,0.6073334705302699,0.8126373626373626,0.5165890938134727,0.001,0.99,32,0.01,1000000,0,2026-06-20T06:28:36
problem_5e,problem_5e.yml,,linear,348208.9676865999,0.7668514204783423,0.8796703296703297,0.668647926172966,0.001,0.99,32,0.01,1000000,1,2026-06-20T06:31:48
problem_5e,problem_5e.yml,,linear,256455.01226014874,0.5647841057829652,0.5236263736263737,0.6101707220129097,0.001,0.99,32,0.01,1000000,2,2026-06-20T06:35:49
problem_5e,problem_5e.yml,,linear,253155.96711151145,0.5575187057122478,0.9538461538461539,0.6864025904511776,0.001,0.99,32,0.01,1000000,3,2026-06-20T06:38:18
problem_5e,problem_5e.yml,,linear,275776.32436921756,0.6073349215611512,0.8181318681318681,0.476335231661943,0.001,0.99,32,0.01,1000000,4,2026-06-20T06:46:50
